year,question,option1,option2,option3,option4,difficulty
2015,"Match each disease with its correct type of vaccine","tuberculosis harmless virus","Whooping cough inactivated toxin","diphtheria killed bacteria","polio harmless bacteria",moderate
2015,"HIV that causes AIDS, first starts destroying","B –Lymphocytes","Leucocytes","Helper T – Lymphocytes","Thrombocytes",easy
2015,"The active form of Entamoeba histolytica feeds upon","erythrocytes; mucosa and submucosa of colon","mucosa and submucosa of colon only","food in intestine","blood only",moderate
2015,"High value of BOD (Biochemical Oxygen Demand) indicates that","water is pure","water is highly polluted","water is less polluted","consumption of organic matter in the water is higher by the microbes",easy
2015,"Most animals are tree dwellers in a","coniferous forest","thorn woodland","temperate deciduous forest","tropical rain forest",easy
2015,"The following graph depicts changes in two populations (A and B) of herbivores in a grassy field. A possible reason for these changes is that","Both plant populations in this habital decreased","Population B competed more successfully for food than population A","Population A produced more offspring than population B","Population A consumed the members of population B",moderate
2015,"Cry preservation of gametes of threatened species in viable and fertile condition can be referred to as","In situ conservation of biodiversity","Advanced ex-situ conservation of biodiversity","In situ conservation by sacred groves","In situ cryo-conservation of biodiversity",easy
2015,"Rachel Carson’s famous book “Silent Spring” is related to","Pesticide pollution","Noise pollution","Population explosion","Ecosystem management",easy
2015,"Which of the following is not one of the prime health risks associated with greater UV radiation through the atmosphere due to depletion of stratosphere ozone","Increased skin cancer","Reduced Immune System","Damage to eyes","Increased liver cancer",easy
2015,Which of the following species contains equal number of σ – and π bonds?,HCO- 3,XeO4,(CN)2,CH2(CN)2 ,moderate
2015,"The species Ar, K+ and Ca2+ contains the same number of electrons. In which order do their radii increase?",Ar<K+ < CA2+,Ca2+ < Ar < K+,Ca2+ < K+ < Ar,K+ < Ar < Cr2+ ,easy
2015,The function of “sodium pump” is a biological process operating in each and every cell of all animals. Which of the following biologically important ions is a also a constitute of this pump?,Ca2+,Mg2+,K+,Fe2+,easy
2015,“Metals are usually not found as nitrates in their ores” Out of the following two (a and b) reason which is/ are true for the above observation/ (a) Metal nitrates are highly unstable. (b) Metal nitrates are highly soluble in water.,a and b are false,a and b are false,a is false but b is true,a is true but b is false,moderate
2015,Solubility of the alkaline earth’s metal sulphates in water decreases in the sequence,Mg > Ca > Sr > Ba,Ca > Sr > Ba > Mg,Sr > Ca > Mg > Ba,Ba > Mg > Sr > Ca,easy
2015,"Because of lanthanoid contraction, which of the following pairs of elements have nearly same atomic radii? (Numbers in the parenthesis are atomic numbers)",Ti (22) and Zr (40),Zr (40) and Nb (41),Zr (40) and Hf (72),Zr (40) and Ta (73),easy
2015,Which of the following processes does not involve oxidation of iron?,Rusting of iron sheets,Decolourization  of blue CuSO4 solution by iron,Formation of Fe(CO)5 from Fe,Liberation of H2 from steam by iron at high temperature,easy
2015,Which of the following pairs of ions are isoelectronic and isostructural?,"CO2-3,SO2-3","CIO-3,CO2-3","SO2-3,NO-3","CIO-3,SO2-3",tough
2015,Which of the following option represents the correct bond oreder?,O-2>O2>O+2,O=2<O2<O+2,O-2>O2<O+2,O=2<O2>O+2,tough
2015,"Nitrogen dioxide and sulphur dioxide have some properties in common. Which property is shown by one of these compounds, but not by the other?",forms ‘acid –rain’,is a reducing agent,is soluble in water,is used as a food – preservative,easy
2015,maximum bond angle at nitrogen is present bin which of the following?,NO2,NO-2,NO+2,NO-3,moderate
2015,"Magnetic moments 2.84 B.M> is given by (At nos, Ni= 28, Ti = 22, Cr= 24, CO= 27)",Ni2+,Ti3+,Cr2+,CO2+,easy
2015,Cobalt (III) chloride forms several octahedral complexes with ammonia. Which of the following will not give test for chloride ions with silver nitrate at 25 ℃?,CoCl3∙3NH3,CoCl3 ∙4NH3,CoCl3∙5NH3,CoCl3∙6NH3,easy
2015,Which of these statements about [Co(CN)3l3- is true?,[Co (CN) 6]3- has no unpaired electrons and will be in a low-spin configuration.,[Co (CN) 6]3- has four unpaired electrons and will be in a low-spin configuration.,[Co (CN) 6]3- has four unpaired electrons and will be in a high-spin configuration.,[Co (CN) 6]3- has no unpaired electrons and will be a high-spin configuration,moderate
2015,The activation energy of a reaction can be determined from the slope which of the following graphs?,ln K vs. T,ln K/t vs. T,ln K vs. 1/T,T/ln K vs 1/T,easy
2015,Which one is not equal to zero for an ideal solution?,∆Hmix,∆Smix,∆Vmix,∆P =Pobserved - PRaoult,moderate
2015,A mixture of gases contains H2 and O2 gases in the ratio of 1:4 (w/w). what is the molar ratio of the two gases in the mixture.,1:4,4:1,16:1,2:1,tough
2015,"A given metal crystallizes out with a cubic structure having edge length of 361 pm. If there are four metal atoms in one unit cell, what is the radius of one atom?",40 pm,127 pm,80 pm,108 pm,moderate
2015,"When initial concentration of a reactant doubles in a reaction, its half-life period is not affected. The order of the reaction is",Zero,First,Second,More than zero but less than first,moderate
2015,"If the value of an equilibrium constant for a particular reaction is 1.6 × 1012, then at equilibrium the system will contains",all reactants,mostly reactants,mostly products,similar amount of reactants and products,easy
2015,"A device that convert energy of combustion of fuels like hydrogen and methane, directly into electrical energy is known as",Fuel Cell,Electrolytic Cell,Dynamo,Ni-Cd cell,easy
2015,The boiling point of 0.2 mol kg-1 solution of X in water is greater than equimolal solution of Y in water. Which one of the following statements is true in this case?, X is undergoing dissociation in water.,Molecular mass of X is greater than the molecular mass of Y,Molecular mass of X is less than the molecular mass of Y,Y is undergoing dissociation in water while X undergoes no change,moderate
2015,Which one the following electrolytes has the same value of van’t factor (i) as that of Al2(SO4)3 (if all are 100% ionised)?,K2SO4,K3]Fe(CN)6],Al(NO3)3,K4[Fe(CN)6],moderate
2015,The number of d-electrons in Fe2+ (Z = 26) is not equal to the number of electrons in which one of the following?,s-electrons in Mg (Z = 12),p – electrons in Cl (Z = 17),d – electrons in Fe (Z = 26),p – electrons in Ne (Z = 10),tough
2015,The correct bond order in the following species is.,O2+2<O+2<O-2,O2+2<O-2<O+2,O+2<O-2<O2+2,O-2<O+2<O2+2,easy
2015,The angular momentum of electron in ‘d’ orbital is equal to,√6 ℏ,√2 ℏ ,2√3  ℏ,0 ℏ ,moderate
2015,"The Ksp of Ag2CrO4, AgCl, AgBr and Agl are respectively, 1.1 × 10-12, 1.8 × 10-10, 5.0 × 10-13, 8.3 × 10-17. Which one of the following salts will precipitate last if AgNO3 solution is added to the solution containing equal moles of NaCl, NaBr, Nal and Na2CrO4?",Agl,AgCl,AgBr,Ag2CrO4,moderate
2015,Which property of colloidal solution is independent of charge on the colloidal particles,Coagulation,Electrophoresis,Electro-osmosis ,Tyndall effect,moderate
2015,Which of the following statements is correct for a reversible process in a state of equilibrium?,∆G = 2.30 RT log K,∆G = 2.30 RT log K,∆G° = - 2.30 RT log K,∆G° = 2.30 RT log K,easy
2015,Bithional is generally added to the soaps as an additive function as a /an,Softener,Dryer,Buffering agent,Antiseptic,easy
2015,The electrolytic reduction of nitrobenzene in strongly acidic medium produces,p-Aminophenol ,Azoxybenzene,Azobenzene,Aniline,tough
2015,"In duma’s method for estimation of nitrogen 0.25 g of an organic compound gave 40 mL of nitrogen collected at 300 K temperature and 725 mm pressure. If the aqueous tension at 300 K is 25 mm, the percentage of nitrogen in the compound is",17.36,18.20,16.76,15.76,moderate
2015,The reaction is called:,Williamson synthesis,Williamson continuous etherification process,Etard reaction,Gatterman-Koch reaction,moderate
2015,The reaction of C6H5CH = CHCH3 with HBr produces,C H CHCH CH | 6 5 2 3 Br,C HCH CHCH 6 5 2 | Br 3,C HCHCHCH Br,all,moderate
2015,Treatment of cyclopentanone with methyl lithium gives which of the following species?,Cyclopentanonyl anion,Cyclopentanonyl cation,Cyclopentanonyl cation,Cyclopentanonyl biradical,easy
2015,The enolic of ethl acetoacetate as below has,18 sigma bonds and 2 pi- bonds,16 sigma bonds and 1 pi- bond,9 sigma bonds and 2 pi- bonds,9 sigma bonds and 1 pi-bonds,easy
2015,Which of the given compounds can exhibit tauomerism?,I and II,I and III,II and III,"I,II and III",easy
2015,The enthalpy of hydrogenation of these compounds will be in the order is,I > II > III,III > II > I,II > III > I,II > I > III,moderate
2015,Biodegradable polymer which can be produced from glycine and aminocaproic acid is,Nylon 2 – Nylon 6,PHBV,Buna – N,"Nylon 6, 6",moderate
2015,The total number of π – bond electrons in the following structure is,4,8,12,16,easy
2015,An organic compound ‘X’ having molecular formula C5H10O yields phenyl hydrazine and gives negative response to the lodoform test and tollen’s test. It produces n-pentane on reduction. ‘X’ could be,pentanal,2- pentanone,3- pentanone,n- amylalchohol,moderate
2015,"In energy (E), velocity (V) and time (T) are chosen as the fundamental quantities, the dimensional formula of surface tension will be",[E V-2 T-1],[E V-1 T-2],[E V-2 T-2],[E-2 V-1 T-3],easy
2015,"A ship A is moving Westwards with a speed of 10 km h-1 and a ship B 100 km South of A, is moving Northwards with a speed of 10 km h-1. The time after which the distance between them becomes shortest, is",0 h,5 h,5√2 h,10√2 h,moderate
2015,"A particle of unit mass undergoes one-dimensional motion such that its velocity varies according to ( ) where ß and n are constants and is the position of the particle. The acceleration of the particle as a function of x, is given by",-2nb2x-2n-1,-2NB2X-4N-1,-2B2X-2n+1,-2nB2e-4n+1,moderate
2015,"Three blocks A, B and C of masses 4kg, 2kg and 1kg respectively, are in contact on a frictionless surface, as shown. If a force of 14 N is applied on the 4kg block, then the contact force between A and B is",2N,6N,8N,18N,easy
2015,"A block A of mass m1 rests on a horizontal table. A light string connected to it passes over a frictionless pulley at the edge of table and from its other end another block B of mass m2 is suspended. The coefficient of kinetic friction between the block and the table . When the block A is sliding on the table, the tension in the string is",unknown,unknown,unknown,unknown,moderate
2015,"Two similar springs P and Q have spring constants KP and KQ, such that KP > KQ. They are stretched, first by the same amount (case a), then by the same force (case b). The work done by the springs WP and WQ are related as, in case (a) and case (b), respectively",WP = WQ; WP > WQ,WP = WQ; WP = WQ ,WP > WQ; WQ > WP,WP < WQ; WQ < WP,easy
2015,"A block of mass 10 kg, moving in x direction with a constant speed of 10ms-1, is subjected to a retarding force 0 1 during its travel from x = 20m to 30m. Its final KE will be",475J,450J,275J,250J,moderate
2015,A particle of mass m is driven by a machine that delivers a constant power k watts. If the particle starts from rest the force on the particle at time t is, √mk/2 t-1/2,√mk t-1/2, √2mkt-1/2, 1/2√mk t-1/2,tough
2015,"Two particles of masses m1, m2 move with initial velocities u1 and u2. On collision, one of the particles get excited to higher level, after absorbing energy ε If final velocities of particles be v1 and v2 then we must have",unknown,unknown,unknown,unknown,easy
2015,A rod of weight W is supported by two parallel knife edges. A and B is in equilibrium in a horizontal position. The knives are at a distance d from each other. The centre of mas of the rod is at distance x from A. The normal reaction on A is,wx/d,wd/x,w(d-x)/x,w(d-x)/d,moderate
2015,A mass m moves in a circle on a smooth horizontal plane with velocity v0 at a radius R0. The mass is attached to a string which passes through a smooth hole in the plane as shown. The tension in the string is increases gradually and finally m moves in a circle of radius r0/2. The final value of the kinetic energy is:,mv20,1/4mv20,2mv20,1/2mv20,moderate
2015,"Three identical spherical shells, each of mass m and radius r are placed as shown in figure. Consider an axis XX’ which is touching to two shells and passing through diameter of third shell. Moment of inertia ofthe system consisting of these three spherical shells about XX’ axis is",11/5mr2,3mr2,16/5mr2,4mr2,moderate
2015,"Kelper’s third law states that square of period of revolution (T) of a planet around the sun, is proportional to third power of average distance r between sun and planet i.e. T2 = Kr3 here K is constant. If the masses of sun and planet are M and m respectively then as per Newton’s law of gravitation force of attraction between them is F=GMm/r2, here G is gravitational constant The relation between G and K is described as",GK=4π2 ,GMK=4π2,K = G,K=1/G  ,easy
2015,"Two spherical bodies of mass M and 5M and radii R and 2R are released in free space with initial separation between their centres equal to 12R. If they attract each other due to gravitational force only, then the distance covered by the smaller body before collision is",2.5R,4.5R,7.5R,1.5R,easy
2015,"On observing light from three different stars P, Q and R, it was found that intensity of violet color is maximum in the spectrum of P, the intensity of green color is maximum in the spectrum of R and the intensity of red color is maximum in the spectrum of Q. If TP, TQ and TR are the respective absolute temperatures of P, Q and R, then it can be concluded from the above observations that",TP> TQ > TR,TP > TR > TQ,TP < TR < TQ,TP < TQ < TR,tough
2015,The approximate depth of an ocean is 2700m. The compressibility of water is 45.4 × 10-11 Pa-1 and density of water is 103kg/m3. What fractional compression of water will be obtained at the bottom of the ocean,0.8 × 10-2,1.0 × 10-2,1.2 × 10-2,1.4 × 10-2,moderate
2015,"The two ends of a metal rod are maintained at temperature 100°C. The rate of heat flow in the rod is found to be 4.0J/s. If the ends are maintained at temperature 200°C and 210°C, the reate of heat flow will be",44.0J/s,16.8J/s,8.0J/s,4.0J/s,easy
2015,"A wind with speed 40m/s blows parallel to the roof of a house. The area of the root is m2. Assuming that the pressure inside the house is atmospheric pressure, the force exerted by the wind on the roof and the direction of the force will be",4.8 × 105 N downwards,4.8 × 105 N upwards,2.4 × 105 N upwards,2.4 × 105 N downwards,moderate
2015,"Figure below show two paths that may be taken a gas to go from a state A to a state C. In process AB, 400J of heat is added to the system and in process BC, 100J of heat is added to the system. The heat absorbed by the system in the process AC will be",380J,500J,460J,300J,easy
2015,"A carnot engine, having an efficiency of as heat engine, is used as a refrigerator. If the work done on the system is 10J, the amount of energy absorbed from the reservoir at lower temperature is",100J,99J,90J,1J,moderate
2015,"One mole of an ideal diatomic gas undergoes a transition from A to B a transition from A to B along a path AB as shown in the figure, The change in internal energy of the gas during the transition is",20kJ,-20kJ ,20J,-12kJ,moderate
2015,The ratio of the specific heats in terms of degrees of freedom (n) is given by,(1+1/n),(1+n/3),(1+2/n),(1+n/2),easy
2015,When two displacements represented by y1 a sin (ωt) are superimposed the motion is,not a simple harmonic,simple harmonic with amplitude a/b,simple harmonic with amplitude √a2+b2,simple harmonic with amplitude (a+b)/2,easy
2015,"A particle is executing SHM along a straight line. Its velocities at distances x1 and x2 from the mean position V1 and V2, respectively. Its time period is",unknown,unknown,unknown,unknown,moderate
2015,The fundamental frequency of a closed organ pipe of length 20 cm equal to the second overtone of an organ pipe open at both the ends. The length of organ pipe open at both the ends is,80cm,100cm,120cm,140cm,tough
2015,"A parallel plate air capacitor of capacitance C is connected to a cell of emf V and then disconnected from it. A dielectric slab of dielectric constant K, which can just fill the air gap of the capacitor, is now inserted in it. Which of the following is incorrect?",The potential difference between the plates decreases K times,The energy stored in the capacitor decreases K times,The change in energy stored is 1/2 CV2(1/k-1) ,The charge on the capacitor is not conserved,easy
2015,"The electric field in a certain region is acting radially outward and is given by E = Ar. A charge contained in a sphere of radius ‘a’ centred at the origin of the field, will be given by",4 πε0 Aa2,A ε0 a2,4 πε0 Aa3,ϵ0 Aa3,moderate
2015,"A potentiometer wire has length 4 m and resistance 8 Ω The resistance that must be connected in series with the wire and an accumulator of e.m.f. 2V, so as to get a potential gradient 1 mV per cm on the wire is",32 Ω,40 Ω,44 Ω,48 Ω ,easy
2015,"A, B and C are voltmeters of resistance R, 1.5r and 3R respectively as shown in the figure. When some potential difference is applied between X and Y, the voltmeter readings are VA’ VB and VC respectively.Then",VA = VB = VC ,VA ≠ VB = VC,VA = VB ≠ VC,VA ≠ VB ≠ VC ,moderate
2015,Across a metallic conductor of non-uniform cross section a constant potential difference is applied. The quantity which remains constant along the conductor is,current density,current,drift velocity,electric field,tough
2015,An electron moving in a circular orbit of radius or makes n rotations per second. The magnetic field produced at the centre has magnitude,unknown,unknown,unknown,unknown,moderate
2015,A conduction square frame of side ‘a’ and a long straight wire carrying current I are located in the same plane as shown in the figure The frame moves to the right with a constant velocity ‘V’ The emf induced in the frame will be proportional to,1/x2,1/(2x-a)2,1/(2x-a)2,1/(2x-a)(2x+a),moderate
2015,A radiation of energy ‘E’ falls normally on a perfectly reflection surface The momentum transferred to the surface is,E/C,2E/C,2E/C2,E/C2,easy
2015,Two identical thin plano – convex glass lenses (refractive index 1.5) each having radius of curvature of 20 cm are placed with their convex surface in contact at the centre. The intervening space is filled with oil of refractive index 1.7. The focal length of the combination is,- 20 cm,– 20 cm,– 50 cm,50 cm,moderate
